"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"BCP",1.11,0.18,2.86,2.34,1.49,3.74,3930,0.89,187152.36,2.8,37.55,77.77,7.92,8.52,2018-04-30,142.97,15.91,40.54,38.28,2.52,21.78
"BIF",2.04,0.34,3.17,3.02,4.32,2.55,7029,1.77,129621.04,2.19,47.17,82.72,6.91,14.36,2018-04-30,149.8,13.05,56.58,22.38,0.71,9.83
"Cencosud",0,0,5.61,4.38,0,5.61,761,0.55,9676.15,24.76,56.83,84.94,41.67,3.64,2018-04-30,144.15,17.09,210.54,51.57,1.89,8.19
"Citibank",1.22,0.08,0,0,0,0,4969,0.61,3650897.94,2.68,38.86,60.04,5.13,3.71,2018-04-30,0,26.74,114.41,78.52,3.01,13.73
"Falabella",0,0,7.51,6.94,34.04,7.36,1355,3.24,40531.36,12.78,58.74,87.24,27.16,5.34,2018-04-30,158.83,18.48,165.51,36.34,1.52,9.45
"GNB",4.37,0.12,2.89,2.53,4.84,2.25,6651,3.95,325483.58,2.31,50.37,87.91,7.6,6.91,2018-04-30,144.37,14.64,43.42,44.24,0.97,7.65
"ICBC",2.11,10.14,0,0,0,0,3139,0,440536.36,3.24,157.65,81.45,3,4.19,2018-04-30,0,42.8,72.22,138.71,0.51,3.62
"Interbank",1.45,0.19,2.72,2.49,2.84,2.68,4350,0.84,103100,3.37,38.33,80.74,9.54,9.53,2018-04-30,179.8,17.52,69.13,29.28,2.28,21.66
"Mibanco",117.66,15.78,5.22,3.15,21.7,5.04,952,1.38,23542.6,8.04,49.21,94.52,21.21,9.14,2018-04-30,173.02,15.14,66.21,32.18,3.54,27.77
"Pichincha",2.4,1.52,3.76,3.24,4.95,3.35,3844,3.77,86019.17,4.2,58.26,89.41,11.19,10.46,2018-04-30,123.76,13.02,34.38,21.94,0.4,4.58
"Ripley",0,0,3.43,3.19,0,3.43,1041,1.09,31543.95,13.51,55.64,91.16,32.05,5.1,2018-04-30,212.03,14.77,731.51,34.84,3.24,17.54
"Santander",4.05,0.16,0.99,0.94,0.99,0.98,29557,0.78,3319388.1,1.34,42.93,87.02,4.93,6.84,2018-04-30,190.11,17.08,56.42,24.56,1.53,11.98
"Scotiabank",1.1,0.12,3.19,2.82,2.82,3.4,7472,1.08,150264.51,2.48,37.01,83.77,7.88,6.72,2018-04-30,136.81,15.19,31.3,18.81,2.15,15.73
"Azteca",132.03,20.39,9.68,7.88,0,9.68,168,0,2150.55,44.3,71.12,90.74,68.44,2.74,2018-05-31,215.37,24.16,67.25,27.68,0.65,2.51
"B. del Comercio",6.95,0.85,3.65,3.53,7.19,3.18,2004,0.61,80321.68,4.06,52.09,95.22,12.42,5.87,2018-05-31,147.66,12.47,70.34,35.59,1.65,11.85
"BBVA",1.12,0.23,3.15,2.8,3.6,2.92,8763,2.04,150331.37,2.18,38.26,81.45,7.18,9.66,2018-05-31,153.61,15.09,42.59,26.3,1.89,19.3
"BCP",1.16,0.19,2.89,2.38,1.51,3.78,3974,0.93,191110.1,2.79,37.45,77.62,7.93,8.57,2018-05-31,141.41,15.67,43.96,34.96,2.53,21.72
"BIF",1.62,0.38,3.06,2.92,4.04,2.55,7100,1.83,128156.99,2.2,46.23,82.78,6.92,13.84,2018-05-31,156.84,12.91,50,20.79,0.72,9.94
"Cencosud",0,0,6.4,5.4,0,6.4,779,0.53,10713.88,24.15,55.45,85.03,41.62,3.82,2018-05-31,131.58,16.5,258.99,59.49,1.94,8.56
"Citibank",1.44,0.07,0,0,0,0,5815,0.53,4037137.68,2.73,43.64,59.21,4.88,7.07,2018-05-31,0,28.32,123.6,65.23,2.83,13.15
"Falabella",0,0,7.58,7.12,35.36,7.44,1399,3.18,40984.73,13.08,58.87,87.48,27.42,5.29,2018-05-31,155.55,17.05,165.29,35.75,1.52,9.32
"GNB",5.74,0.11,2.78,2.54,4.74,2.17,6697,4.07,332896.77,2.3,50.27,88.58,7.57,6.99,2018-05-31,152.02,14.67,42.17,43.34,0.99,7.76
"ICBC",2.25,7.45,0,0,0,0,4117,0,471631.1,3.11,149.78,74.8,2.76,4.26,2018-05-31,0,41.74,94.81,141.29,0.23,1.5
"Interbank",1.49,0.15,2.72,2.49,2.57,2.77,4433,0.82,100841.08,3.37,39.14,80.32,9.41,9.17,2018-05-31,176.38,16.87,65.16,26.51,2.32,21.88
"Mibanco",205.79,21.06,5.32,3.29,22.18,5.14,959,1.35,23322.02,8.03,48.8,94.79,21.21,9.3,2018-05-31,170.4,15.09,96.82,30.98,3.63,28.25
"Pichincha",2.87,0.77,3.72,3.25,4.69,3.39,3923,3.71,90038.31,4.2,57.46,89.63,11.14,10.41,2018-05-31,126.08,12.72,36.68,20.54,0.44,4.99
"Ripley",0,0,3.71,3.42,0,3.71,1040,0.86,32136.1,13.53,56.29,90.94,32.02,5.29,2018-05-31,194.9,14.88,739.07,34.47,3.26,17.62
"Santander",6.29,0.54,0.95,0.9,0.95,0.95,30338,0.74,3609981.97,1.37,41.83,86.52,5.08,7.24,2018-05-31,194.87,16.14,52.35,24.09,1.54,11.98
"Scotiabank",1.18,0.12,3.22,2.85,2.75,3.5,7516,1.09,166685.14,2.49,36.91,83.68,7.89,7.04,2018-05-31,136.03,14.96,34.67,16.36,2.16,15.76
"Azteca",120.17,13.66,9.67,7.83,0,9.67,163,0,2202.94,44.79,71.4,91.17,68.98,2.74,2018-06-30,214.46,24.29,69.96,28.99,0.64,2.41
"B. del Comercio",5.37,0.9,3.21,3.15,6.46,2.75,2058,0.66,78807.87,4.05,51.62,95.22,12.48,5.9,2018-06-30,156.3,12.47,63.21,34.25,1.64,11.63
"BBVA",1.07,0.23,2.95,2.62,3.43,2.7,8904,2.02,146128.3,2.19,38.35,81.48,7.19,9.56,2018-06-30,159.72,14.94,38.93,27.5,1.92,19.42
"BCP",1.21,0.19,2.9,2.4,1.47,3.81,3914,1.11,183513.63,2.78,37.95,77.66,7.88,8.45,2018-06-30,141.51,15.64,43.45,32.49,2.53,21.51
"BIF",2.26,0.46,3.01,2.84,3.85,2.56,7267,1.75,126980.59,2.19,45.79,82.85,6.92,14.26,2018-06-30,160.89,12.79,48.41,21.52,0.74,10.16
"Cencosud",0,0,6.21,5.1,0,6.21,791,0.52,10664.08,23.61,54.97,84.69,41.77,3.79,2018-06-30,142.34,17.25,181.48,54.96,2.1,9.44
"Citibank",1.46,0.03,0,0,0,0,6297,0.5,4581397.98,2.7,41.85,58.4,4.85,7.48,2018-06-30,0,18.23,112.15,64.38,2.81,13.5
"Falabella",0,0,7.75,7.3,35.68,7.61,1415,3.18,40216.99,13.35,58.85,76.67,25.84,5.33,2018-06-30,154.49,16.47,165.35,34.6,1.47,8.92
"GNB",5.95,0.13,2.94,2.15,3.49,2.77,6688,3.74,317491.2,2.32,50.88,84.38,7.52,6.86,2018-06-30,141.36,14.73,44.24,41.95,0.98,7.66
"ICBC",1.63,1.55,0,0,0,0,5201,0,473870.97,2.99,143.12,77.17,2.63,1.87,2018-06-30,0,60.26,97.25,165.46,-1.26,-7.67
"Interbank",1.5,0.2,2.72,2.52,2.51,2.8,4427,0.79,104426.25,3.24,38.33,80.29,9.32,9.44,2018-06-30,176.59,17.02,60,26.86,2.34,21.97
"Mibanco",183.18,26.32,5.48,3.33,22.44,5.31,948,1.33,23280.96,8.03,48.94,94.99,21.22,9.13,2018-06-30,168.21,14.79,87.21,31.15,3.65,28.11
"Pichincha",2.77,0.85,3.58,3.09,4.26,3.35,4021,3.72,89469.64,4.2,58,88.99,11.13,10.5,2018-06-30,126.57,12.29,34.66,19.85,0.47,5.32
"Ripley",0,0,3.54,3.35,0,3.54,1047,0.73,32940.41,13.43,56.56,90.82,31.9,5.29,2018-06-30,197.96,14.74,680.71,34.64,3.27,17.51
"Santander",2.73,2.25,0.86,0.82,0.78,0.94,31264,0.73,3956969.62,1.39,40.47,86.07,5.03,7.81,2018-06-30,211.09,15.57,0,0,1.51,11.84
"Scotiabank",1.56,0.12,3.26,2.84,2.83,3.51,7531,1.08,174423.68,2.46,36.74,83.85,7.86,7.42,2018-06-30,134.9,14.87,38.68,16.18,2.16,15.81
"Azteca",120.03,16.57,9.48,7.69,0,9.48,160,0,2229.65,45.61,73.56,91.53,69.45,2.73,2018-07-31,212.55,24.52,74.99,31.39,0.48,1.8
"B. del Comercio",7.54,1.22,3.48,3.26,6.38,3.06,2066,0.61,77694.17,4.06,51.27,95.27,12.48,5.84,2018-07-31,147.9,12.4,59.95,30.3,1.62,11.36
"BBVA",1.23,0.24,3.19,2.85,3.63,2.96,8688,1.94,151485.25,2.2,38.3,81.44,7.19,9.59,2018-07-31,153.43,14.79,44.38,23.54,1.89,19.03
"BCP",1.2,0.21,2.94,2.41,1.56,3.81,3948,1.09,183148.15,2.82,38.49,77.31,7.9,8.37,2018-07-31,138.98,15.07,42.83,33.15,2.55,21.53
"BIF",2.47,0.74,3.12,2.95,3.9,2.7,7304,1.73,138814.59,2.19,45.58,82.91,6.91,14.9,2018-07-31,157.64,12.71,51.42,19.51,0.76,10.39
"Cencosud",0,0,6.43,5.47,0,6.43,797,0.52,10319.46,23.61,55.98,84.95,42.31,3.66,2018-07-31,134.88,16.91,180.59,48.84,2.08,9.46
"Citibank",1.23,0.02,0,0,0,0,6792,0.23,4267442.54,2.69,42.62,60.36,4.87,6.44,2018-07-31,0,16.74,111.06,53.48,2.67,13.12
"Falabella",0,0,7.87,7.46,37.29,7.73,1364,3.34,41393.63,13.65,59.52,76.43,25.66,5.19,2018-07-31,155.27,16.28,164.66,34.43,1.47,8.81
"GNB",6,0.19,3,2.32,3.69,2.79,7731,3.77,320834.92,2.3,50.51,85.46,7.49,6.89,2018-07-31,143.07,14.61,45.11,42.69,0.96,7.5
"ICBC",0.99,2.14,0,0,0,0,6297,0,416800.77,2.92,136.4,78.59,2.61,1.62,2018-07-31,0,63.73,75.41,161.71,-1.35,-7.73
"Interbank",2.05,0.17,2.7,2.49,2.53,2.77,4438,0.76,105191.62,3.23,39.06,80.26,9.2,9.37,2018-07-31,176.09,16.68,63.55,26.63,2.32,21.79
"Mibanco",245.46,24.98,5.43,3.27,22.52,5.26,946,1.31,23678.76,8.04,48.59,95.16,21.22,9.1,2018-07-31,168.62,14.79,101.85,29.89,3.75,28.51
"Pichincha",2.94,0.88,3.83,3.15,4.82,3.49,4086,3.75,90262.47,4.19,57.3,89.16,11.33,10.52,2018-07-31,121.77,12.17,34.51,19.58,0.5,5.65
"Ripley",0,0,3.53,3.24,0,3.53,1048,0.53,32734.27,13.34,56.88,90.83,31.8,5.23,2018-07-31,190.23,14.7,696.81,34.3,3.21,17.1
"Santander",5.01,0.44,0.88,0.85,0.84,0.92,31478,0.7,3707471.25,1.42,40.06,85.47,5.07,7.45,2018-07-31,209.47,14.89,50.81,26.21,1.51,11.83
"Scotiabank",1.85,0.12,3.32,2.87,3.05,3.46,7561,1.05,166823.52,2.47,36.77,83.85,7.85,7.36,2018-07-31,134.43,14.67,41.81,13.04,2.14,15.65
"Azteca",127.45,10.04,9.66,7.92,0,9.66,157,0,2211,46.19,74.9,91.66,69.66,2.71,2018-08-31,205.38,25.34,69.9,33.97,0.44,1.65
"B. del Comercio",7,0.89,3.6,3.36,6.5,3.18,2051,0.55,76101.86,4.07,50.83,95.17,12.53,5.79,2018-08-31,146.82,12.66,61.01,25.07,1.64,11.3
"BBVA",1.32,0.22,3.35,2.95,3.69,3.17,8597,1.95,154603.95,2.2,37.81,81.66,7.21,9.72,2018-08-31,150.03,14.88,47.62,26.4,1.89,18.86
"BCP",1.19,0.21,2.93,2.4,1.7,3.67,4005,1.17,185756.7,2.83,38.54,77.19,7.94,8.46,2018-08-31,139.12,15.23,43,30.46,2.55,21.32
"BIF",2.51,0.35,3.08,2.93,3.93,2.61,7267,1.73,132553.11,2.18,45.2,83,6.91,14.36,2018-08-31,160.64,13.02,51.48,20.81,0.78,10.6
"Cencosud",0,0,6.19,5.26,0,6.19,800,0.53,10337.95,23.52,57.07,85.07,42.56,3.76,2018-08-31,140.13,16.89,212.77,47.71,1.72,7.97
"Citibank",1.39,0.03,0,0,0,0,8116,0.2,4346466.94,2.68,41.85,62.81,4.91,6.69,2018-08-31,0,17.4,115.6,43.41,2.69,13.61
"Falabella",0,0,7.78,7.37,39.3,7.64,1352,3.37,39422.92,13.94,60.34,77.47,25.61,5.03,2018-08-31,156.79,16.73,167.17,34.44,1.44,8.53
"GNB",4.37,0.41,3.23,2.36,3.89,3.04,7583,3.74,328958,2.27,50.29,81.8,7.43,7.21,2018-08-31,138.92,14.62,45.36,43.16,0.96,7.47
"ICBC",1.18,28.55,0,0,0,0,6633,0,373436,2.82,123.96,79.94,2.69,1.82,2018-08-31,0,55.58,70.37,145.26,-1.1,-6.01
"Interbank",1.9,0.18,2.69,2.52,2.52,2.75,4446,0.73,111246.08,3.21,39.32,80.29,9.08,9.77,2018-08-31,178.12,16.61,64.66,27.38,2.32,21.8
"Mibanco",285.93,22.87,5.46,3.34,22.99,5.29,952,1.29,23748.87,7.98,47.77,95.28,21.17,9.04,2018-08-31,168.62,14.78,132.36,28.61,3.81,28.64
"Pichincha",3.72,1.26,3.75,3.1,4.54,3.48,4126,3.62,92630.45,4.19,56.73,87.82,11.21,10.81,2018-08-31,125.07,12.19,34.64,20.96,0.53,5.99
"Ripley",0,0,3.31,3.03,0,3.31,1058,0.49,32221.77,13.36,56.9,90.75,31.73,5.34,2018-08-31,192.62,14.66,623.62,33.61,3.26,17.25
"Santander",3.95,0.74,0.94,0.92,0.96,0.93,32062,0.68,3853700.32,1.43,39.84,85.26,5.07,7.68,2018-08-31,194.39,14.92,55.65,27.29,1.51,11.82
"Scotiabank",1.68,0.13,3.44,2.96,3.31,3.51,7432,1.27,163809.58,2.47,36.74,83.1,7.85,7.16,2018-08-31,133.34,14.56,38.98,16.11,2.17,15.79
"Azteca",122.87,10.58,9.53,7.83,0,9.53,153,0,2179.88,46.91,75.8,91.67,69.96,2.69,2018-09-30,204.77,25.34,72.01,34.15,0.41,1.51
"B. del Comercio",9.01,0.74,3.24,3.16,6.34,2.8,2043,0.57,77708.3,4.09,51.07,95.25,12.62,5.95,2018-09-30,154.24,12.66,56.29,26.53,1.64,11.18
"BBVA",0.93,0.2,3.05,2.74,3.44,2.85,8643,1.93,157426.46,2.21,37.9,81.67,7.2,9.55,2018-09-30,158.61,14.88,42.88,28.2,1.89,18.68
"BCP",1.16,0.18,2.91,2.45,1.64,3.68,4014,1.2,183369.71,2.85,38.83,77.22,7.9,8.37,2018-09-30,140.81,15.23,40.83,29.64,2.57,21.3
"BIF",2.57,0.35,3.07,2.95,3.98,2.6,7407,1.7,135824.64,2.18,45.02,83.05,6.92,14.33,2018-09-30,162.62,13.02,48.19,21.52,0.79,10.75
"Cencosud",0,0,6,5.13,0,6,806,0.52,10036.99,22.9,56.88,85.16,42.55,3.79,2018-09-30,137.06,16.89,189.6,43.66,1.83,8.64
"Citibank",1.41,0.13,0,0,0,0,7267,0.22,4623527.93,2.62,40.02,59.42,4.66,7.09,2018-09-30,0,17.4,121.44,36.17,2.66,14.12
"Falabella",0,0,3.61,3.16,41.03,3.44,1287,3.55,38235.85,14.21,60.58,77.37,25.59,4.97,2018-09-30,231.22,16.73,162.71,28.82,1.49,8.68
"GNB",4.37,0.17,3.24,2.39,3.99,3.02,7608,4.42,323765.64,2.25,50.3,82.85,7.37,7.22,2018-09-30,143.54,14.62,49.83,42.82,0.93,7.24
"ICBC",1.12,1.15,0,0,0,0,6790,0,419151.3,3.2,118.1,79.43,3.15,1.77,2018-09-30,0,55.58,74.47,154.4,-1.1,-4.95
"Interbank",1.31,0.2,2.62,2.43,2.32,2.73,4583,0.69,104992.53,3.19,39.68,80.28,9.02,9.4,2018-09-30,179.61,16.61,62.59,27.57,2.33,21.83
"Mibanco",229.16,17.74,5.5,3.31,23.43,5.34,953,1.26,24153.2,7.96,47.7,95.3,21.14,8.99,2018-09-30,167.53,14.78,115.34,30.61,3.81,28.3
"Pichincha",3.92,0.83,3.49,3,4.02,3.3,4094,3.7,91993,4.19,56.96,88.01,11.23,10.68,2018-09-30,131.76,12.19,37.03,22.73,0.56,6.33
"Ripley",0,0,3.21,2.94,0,3.21,1057,0.46,31372.14,13.47,57.52,90.63,31.74,5.28,2018-09-30,193.68,14.66,639.25,32.4,3.17,16.62
"Santander",5.83,1.28,0.71,0.66,0.54,0.89,33546,1.12,3875119.62,1.43,39.77,84.96,5.06,7.71,2018-09-30,222.76,14.92,44.26,24.74,1.46,11.49
"Scotiabank",1.43,0.15,3.34,2.92,3.31,3.35,7440,1.3,160671.03,2.48,36.91,83.12,7.84,7.08,2018-09-30,132.76,14.56,40.2,13.95,2.2,15.84
"Azteca",125.55,14.49,9.74,8.02,0,9.74,151,0,2203.81,48.1,76.9,91.62,70.22,2.67,2018-10-31,203.04,25.5,69.9,33.79,0.47,1.73
"B. del Comercio",8.62,1.53,3.21,3.15,5.76,2.86,2069,0.64,76777.48,4.13,51.16,95.25,12.66,5.96,2018-10-31,156.59,12.61,61.42,27.61,1.64,11.03
"BBVA",1.04,0.19,3.16,2.9,3.58,2.94,8760,1.93,152812.65,2.22,37.48,81.68,7.27,9.93,2018-10-31,156.09,15.02,40.74,27.19,1.92,18.81
"BCP",1.1,0.21,2.88,2.38,1.58,3.67,4070,1.17,189229.96,2.86,39.05,77.19,7.88,8.65,2018-10-31,139.71,15.07,41.55,28.01,2.59,21.33
"BIF",2.15,0.34,3.17,3.04,4.06,2.69,7477,1.83,137635.47,2.17,44.65,83.03,6.9,14.56,2018-10-31,161.95,12.97,47.76,23.11,0.82,11.01
"Cencosud",0,0,5.7,4.77,0,5.7,834,0.51,10102.62,22.28,56.66,85.18,42.23,3.94,2018-10-31,143.87,16.77,189.82,41.02,1.64,7.91
"Citibank",1.35,0.1,0,0,0,0,7641,0.21,5056013.42,2.53,40.61,59.88,4.52,7.74,2018-10-31,0,16.3,120.28,45.67,2.61,14.49
"Falabella",0,0,3.15,2.66,5.52,3.14,1294,3.47,36565.83,14.56,60.98,76.27,25.57,4.81,2018-10-31,251.64,16.79,158.31,29.09,1.53,8.81
"GNB",5.57,0.4,3.4,2.84,4.53,3.07,7666,4.33,325293.92,2.21,49.79,83.22,7.35,7.32,2018-10-31,136.29,14.44,48.65,41.69,0.91,7.08
"ICBC",2.92,1.27,0,0,0,0,6232,0,528808.58,3.14,107.79,80.93,3.33,2.15,2018-10-31,0,57.84,75.83,149.7,-0.82,-3.5
"Interbank",1.65,0.19,2.67,2.5,2.39,2.77,4628,0.68,111152.58,3.18,39.94,80.11,8.96,9.99,2018-10-31,175.8,16.53,57.07,27.28,2.32,21.76
"Mibanco",228.66,21.16,5.44,3.39,23.23,5.28,949,1.29,24316.32,7.97,47.57,95.46,21.12,9.23,2018-10-31,171.01,14.76,120.86,31.54,3.73,27.48
"Pichincha",2.84,1.1,3.61,2.93,3.91,3.5,4137,3.91,91530.33,4.23,57.38,88.05,11.26,10.77,2018-10-31,127.05,12.53,37.47,19.93,0.55,6.2
"Ripley",0,0,3.13,2.85,0,3.13,1062,0.43,32690.02,13.56,57.77,90.35,31.62,5.62,2018-10-31,196.3,14.31,671.52,35.61,3.17,16.64
"Santander",4.25,4.83,0.61,0.59,0.42,0.82,35438,1.03,3829827.62,1.43,38.83,83.81,5.1,8.35,2018-10-31,245.2,14.28,41.27,30.55,1.43,11.32
"Scotiabank",1.46,0.17,3.43,3,3.45,3.42,7442,1.29,165890.86,2.48,36.97,83.18,7.82,7.2,2018-10-31,130.73,14.63,41.05,15.9,2.19,15.73
"Azteca",119.97,12.46,9.41,7.71,0,9.41,151,0,2318.51,49.03,77.6,91.61,70.56,2.66,2018-11-30,204.09,25.73,74.16,33.57,0.42,1.55
"B. del Comercio",9.18,1.58,3.4,3.33,5.76,3.07,2095,0.71,79506.52,4.09,51.63,95.2,12.62,6.12,2018-11-30,153.09,12.88,59.7,28.98,1.6,10.7
"BBVA",1.11,0.17,3.23,2.96,3.6,3.03,8809,1.93,157901.93,2.23,37.42,81.64,7.32,9.75,2018-11-30,156.47,14.6,42.24,26.49,1.94,18.87
"BCP",1.16,0.2,2.81,2.34,1.49,3.63,4101,1.22,193580.09,2.9,39.37,77.3,7.87,8.96,2018-11-30,141.86,14.68,39.25,30.3,2.59,21.19
"BIF",2.39,0.22,3.15,3.04,4.03,2.69,7442,1.79,143895.86,2.13,44.38,83.02,7.03,15.26,2018-11-30,164.1,13.11,49.03,24.81,0.84,11.32
"Cencosud",0,0,5.25,4.2,0,5.25,871,0.5,10465.03,21.89,56.34,85.31,42,4.12,2018-11-30,149.95,16.05,204.8,44.04,1.47,7.21
"Citibank",1.68,0.02,0,0,0,0,8108,0.2,4897107.16,2.51,40.74,61.62,4.46,7.87,2018-11-30,0,18.49,109.84,47.16,2.55,14.8
"Falabella",0,0,3.12,2.63,5.84,3.12,1310,3.37,36969.32,14.92,61.31,76.17,25.51,4.81,2018-11-30,248.92,16.85,163.56,29.23,1.56,8.84
"GNB",4.16,0.23,2.74,2.28,3.22,2.6,7559,4.36,315649.07,2.18,49.78,81.98,7.35,7.12,2018-11-30,156.76,14.11,47.09,41.69,0.88,6.87
"ICBC",1.46,1.97,0,0,0,0,8630,0,503783.12,3.19,110.44,81.51,3.45,2.19,2018-11-30,0,58.82,64.57,133.11,-0.75,-3.07
"Interbank",1.74,0.19,2.65,2.49,2.44,2.72,4684,0.67,105467.9,3.18,40.15,80.1,8.98,9.75,2018-11-30,175.92,16.12,56.06,27.03,2.34,21.84
"Mibanco",288.08,20.2,5.29,3.31,23.74,5.13,962,1.29,24971.72,8,47.84,95.53,21.05,9.32,2018-11-30,172.75,14.95,119.87,30.78,3.7,27.14
"Pichincha",4.13,1.08,3.65,2.96,4.13,3.48,4249,4.27,98289.13,4.21,57.42,87.96,11.28,11.36,2018-11-30,125.43,12.29,35.44,21.93,0.58,6.58
"Ripley",0,0,2.97,2.66,0,2.97,1087,0.4,35301.27,13.65,58.13,90.32,31.53,5.6,2018-11-30,199.57,13.7,591.86,33.44,3.09,16.15
"Santander",3.76,3.84,0.58,0.58,0.37,0.83,36661,0.98,3789409.45,1.44,37.89,82.96,5.13,8.05,2018-11-30,253.2,13.55,38.55,42.58,1.47,11.79
"Scotiabank",1.91,0.1,3.48,3.07,3.4,3.52,7337,1.33,172367.58,2.47,37.11,83.25,7.82,7.62,2018-11-30,131.55,14.26,41.85,16.18,2.2,15.77
"Azteca",106.77,18.41,9.36,7.74,0,9.36,156,0,2299.16,49.68,77.95,91.55,70.92,2.6,2018-12-31,202.98,25.5,71.77,28.68,0.4,1.44
"B. del Comercio",8.67,0.68,2.68,2.58,5.19,2.36,2127,0.72,79457.87,4.13,52.7,95.13,12.61,6.12,2018-12-31,172.27,12.91,61.57,30.65,1.62,10.74
"BBVA",1.14,0.23,2.94,2.69,3.25,2.78,8794,2,158174.26,2.23,37.46,81.56,7.38,9.69,2018-12-31,163.35,14.47,42.95,26.98,1.97,18.98
"BCP",1.13,0.2,2.66,2.21,1.38,3.47,4253,1.29,200309.02,2.94,40.14,77.5,7.94,9.02,2018-12-31,143.03,14.51,38.53,30.76,2.62,21.27
"BIF",2.22,0.24,2.92,2.8,3.74,2.51,7358,1.79,138474.81,2.11,44.33,83.06,7.02,14.94,2018-12-31,171.77,13.09,46.82,24.98,0.85,11.51
"Cencosud",0,0,5.68,4.8,0,5.68,926,0.48,10083.38,21.51,55.6,85.34,41.9,4.15,2018-12-31,138.57,15.51,271.18,42.35,1.37,6.83
"Citibank",1.32,0.03,0,0,0,0,8050,0.2,4772183.58,2.6,42.08,63.64,4.6,7.81,2018-12-31,0,18.66,114.29,44.77,2.53,15.15
"Falabella",0,0,2.97,2.55,8.98,2.96,1334,3.21,38853.14,15.24,61.63,76.43,25.49,4.78,2018-12-31,251.43,17.34,167.39,27.94,1.61,9.05
"GNB",6.12,0.19,2.63,2.19,2.83,2.57,7510,4.44,314155.36,2.17,49.3,82.13,7.39,7.98,2018-12-31,182.34,14.05,44.8,40.77,0.93,7.29
"ICBC",1.29,12.2,0,0,0,0,10307,0,520590.32,2.97,107.17,79.81,3.38,2.46,2018-12-31,0,48.64,50.08,148.02,-0.84,-3.3
"Interbank",1.61,0.22,2.64,2.49,2.29,2.76,4738,0.65,113151.88,3.18,40.37,79.71,9.65,9.91,2018-12-31,174.98,16.21,57.65,23.93,2.29,21.28
"Mibanco",244.17,25.89,5.27,3.38,24.21,5.11,955,1.28,25279.94,8.09,46.93,96.14,21.25,9.53,2018-12-31,172.75,14.72,98.71,31.29,3.62,26.46
"Pichincha",5.08,1.3,3.45,2.98,3.53,3.41,4311,4.26,96507.8,4.24,57.76,87.86,11.32,11.1,2018-12-31,135.25,12.08,39.8,21.77,0.57,6.46
"Ripley",0,0,2.93,2.67,0,2.93,1122,0.36,34556,13.78,58.89,90.18,31.45,5.55,2018-12-31,194.16,14.91,704.12,32.74,2.97,15.41
"Santander",2.98,0.55,0.62,0.59,0.37,0.93,35473,0.95,3961667.78,1.45,37.15,80.38,5.18,8.26,2018-12-31,241.46,13.17,41.07,37.83,1.57,12.59
"Scotiabank",1.74,0.12,3.53,3.08,3.41,3.59,7499,1.3,162577.41,2.45,36.96,83.16,7.79,7.63,2018-12-31,128.9,14.13,43.44,15.47,2.12,15.28
"Azteca",120.17,15.71,9.3,7.65,0,9.3,153,0,2275.22,50.14,72.56,91.8,70.92,2.56,2019-01-31,205.15,25.1,89.11,27.06,0.37,1.35
"B. del Comercio",9.87,0.9,2.73,2.63,5.09,2.43,2117,0.73,79810.46,4.14,48.32,95.37,12.62,6.04,2019-01-31,173.75,13.04,66.49,30.9,1.62,10.68
"BBVA",1.4,0.17,3.09,2.8,3.37,2.96,8878,1.92,165149.47,2.24,36.09,81.95,7.4,10.22,2019-01-31,158.99,14.95,51.06,25.29,1.97,18.88
"BCP",1.22,0.19,2.8,2.3,1.51,3.58,4102,1.25,201161.83,2.96,32.81,79.01,7.92,8.95,2019-01-31,141.67,14.17,38.95,33.29,2.66,21.45
"BIF",1.91,0.28,3.02,2.92,3.98,2.55,7460,1.83,143069.39,2.1,44.56,84.2,7.05,15.63,2019-01-31,165.26,13.35,46.29,30.88,0.86,11.67
"Cencosud",0,0,5.77,4.97,0,5.77,971,0.56,9901.61,21.24,49.57,85.01,41.66,4.3,2019-01-31,141.75,16.37,383.32,43.05,1.22,6.2
"Citibank",1.36,0.02,0,0,0,0,8497,0.2,4352941.45,2.65,42.58,74.41,4.81,7.57,2019-01-31,0,16.77,109.33,46.21,2.51,15.6
"Falabella",0,0,2.95,2.55,8.73,2.94,1313,3.23,36567.74,15.47,64.87,75.69,25.35,4.54,2019-01-31,252.65,17.05,165.94,27.7,1.67,9.27
